,County,FIPS(county code)-kg/ha,RF(rain fed)-kg/ha,IR(irrigated),Year
679,Lee,1081,11017,13006,2020
680,Mobile,1097,4398,7197,2020
681,Fayette,1057,10903,12111,2020
682,Chambers,1017,9675,13091,2020
683,Tuscaloosa,1125,11251.5,12017.5,2020
684,Wilcox,1131,8375.5,12637,2020
685,Marshall,1095,9850.5,12294.5,2020
686,Escambia,1053,11378.5,12464,2020
687,Limestone,1083,11936,13116,2020
688,Blount,1009,7562,11451,2020
689,Monroe,1099,8824,12752,2020
690,Marion,1093,11747,11940,2020
691,Lowndes,1085,9364.5,12984.5,2020
692,Coosa,1037,10449,12720,2020
693,Pike,1109,7345.5,12984.5,2020
694,Sumter,1119,9455,11865,2020
695,Winston,1133,11091,11557,2020
696,Talladega,1121,6311,11921,2020
697,Jackson,1071,4464,12767,2020
698,Baldwin,1003,8366,12537,2020
699,Bullock,1011,7923,12797,2020
700,Autauga,1001,11393.5,12363,2020
701,Macon,1087,8079,12763,2020
702,St. Clair,1115,9519.5,11456.5,2020
703,Choctaw,1023,11176,12409,2020
704,Cullman,1043,6728.5,12893,2020
705,Shelby,1117,6792,12467.5,2020
706,Dallas,1047,10980,12667,2020
707,Pickens,1107,12226,12162,2020
708,Lauderdale,1077,11992,12841,2020
709,Cleburne,1029,10104,12382,2020
710,Barbour,1005,9068,12749.5,2020
711,Geneva,1061,10230,13045,2020
712,Dale,1045,9281,12909,2020
713,Tallapoosa,1123,10150,12980,2020
714,Clarke,1025,10429,12659,2020
715,Houston,1069,7905,13144,2020
716,Washington,1129,12260,12547,2020
717,Madison,1089,11912,12882,2020
718,Crenshaw,1041,8571.5,12728.5,2020
719,Calhoun,1015,6335,11649,2020
720,Lawrence,1079,11977,12861,2020
721,Morgan,1103,10605,12783,2020
722,Lamar,1075,12369,12630,2020
723,Russell,1113,6843,12622,2020
724,Franklin,1059,6770,12265.5,2020
725,Conecuh,1035,6267,12074,2020
726,Elmore,1051,8849,12802.5,2020
727,Jefferson,1073,3246,12265,2020
728,Walker,1127,3170,11550,2020
729,Randolph,1111,11437,12394,2020
730,Montgomery,1101,10011,13038.5,2020
731,Bibb,1007,9101,11765,2020
732,Etowah,1055,9514,11734,2020
733,Chilton,1021,9320,12195.5,2020
734,Coffee,1031,8462.5,13010,2020
735,Covington,1039,10364,12561,2020
736,Henry,1067,7699,12884,2020
