,County,FIPS(county code)-kg/ha,RF(rain fed)-kg/ha,IR(irrigated),Year
158,Sumter,1119,3816.5,13308,2012
159,Winston,1133,4553,12688,2012
160,Talladega,1121,3401,12034,2012
161,Jackson,1071,1043,12175,2012
162,Baldwin,1003,5098,13314,2012
163,Bullock,1011,5133,12661,2012
164,Autauga,1001,5030,13920,2012
165,Macon,1087,4480,12179,2012
166,St. Clair,1115,6240.5,13184,2012
167,Choctaw,1023,4849,13969,2012
168,Cullman,1043,916.5,12760,2012
169,Shelby,1117,3671.5,11877,2012
170,Dallas,1047,4995,13698,2012
171,Pickens,1107,8096,12480,2012
172,Lauderdale,1077,2544,12352,2012
173,Cleburne,1029,4562,13674,2012
174,Barbour,1005,5433,13970.5,2012
175,Geneva,1061,3594.5,13441,2012
176,Dale,1045,6321,13542,2012
177,Tallapoosa,1123,4845,12013,2012
178,Clarke,1025,5584,13924,2012
179,Houston,1069,4971,13478,2012
180,Washington,1129,11555,13930,2012
181,Madison,1089,3728,12521,2012
182,Crenshaw,1041,4616,13725.5,2012
183,Calhoun,1015,4859,13267,2012
184,Lawrence,1079,2146,12480,2012
185,Morgan,1103,2037,12665,2012
186,Lamar,1075,8926.5,13598,2012
187,Russell,1113,4730,12569,2012
188,Franklin,1059,1002,12275.5,2012
189,Conecuh,1035,3726,13521.5,2012
190,Elmore,1051,5213.5,12367.5,2012
191,Jefferson,1073,1264,11888,2012
192,Walker,1127,754,13185,2012
193,Randolph,1111,4198,13941,2012
194,Montgomery,1101,5465,14106,2012
195,Bibb,1007,3493,11830,2012
196,Etowah,1055,5462,13120,2012
197,Chilton,1021,4017,11754.5,2012
198,Coffee,1031,4683.5,13665,2012
199,Covington,1039,5858,13480,2012
200,Henry,1067,5323,13772,2012
201,Clay,1027,11814,11952,2013
202,Marengo,1091,10688,11937.5,2013
203,DeKalb,1049,12204,12540,2013
204,Cherokee,1019,11607,12126,2013
205,Hale,1065,10309,11862,2013
206,Perry,1105,10006,11760,2013
207,Colbert,1033,8256.5,13871.5,2013
208,Greene,1063,9592,12107,2013
209,Butler,1013,10426,11159,2013
210,Lee,1081,10405,11676,2013
211,Mobile,1097,5146,7710,2013
212,Fayette,1057,12324,13142,2013
213,Chambers,1017,10658,11196,2013
214,Tuscaloosa,1125,11033.5,12043,2013
215,Wilcox,1131,7498.5,11758,2013
216,Marshall,1095,12133,12610.5,2013
217,Escambia,1053,9060.5,11558.5,2013
218,Limestone,1083,11790,13355,2013
219,Blount,1009,10084,12717,2013
220,Monroe,1099,6356.5,11410,2013
221,Marion,1093,13282,13791,2013
222,Lowndes,1085,7391,11672.5,2013
223,Coosa,1037,7640.5,11532,2013
224,Pike,1109,8918,11574.5,2013
225,Sumter,1119,10456.5,12179.5,2013
226,Winston,1133,9541.5,13101,2013
227,Talladega,1121,9701,11582,2013
228,Jackson,1071,5799,11992,2013
229,Baldwin,1003,6889,11761,2013
230,Bullock,1011,8731,11665,2013
231,Autauga,1001,6974.5,11658.5,2013
232,Macon,1087,10300,11779,2013
233,St. Clair,1115,11639.5,12071.5,2013
234,Choctaw,1023,11133,12017,2013
235,Cullman,1043,6587.5,12768,2013
236,Shelby,1117,9180,11747,2013
237,Dallas,1047,9433,11779,2013
238,Pickens,1107,12314,12472,2013
239,Lauderdale,1077,11157,13844,2013
240,Cleburne,1029,11711,12318,2013
241,Barbour,1005,9403,11709,2013
242,Geneva,1061,8054,11404.5,2013
243,Dale,1045,10370,11443,2013
244,Tallapoosa,1123,9493,11473,2013
245,Clarke,1025,9050,11784,2013
246,Houston,1069,7544,11433,2013
247,Washington,1129,10876,11866,2013
248,Madison,1089,11715,12847,2013
249,Crenshaw,1041,8464,11466.5,2013
250,Calhoun,1015,11326,12060,2013
251,Lawrence,1079,10035,13410,2013
252,Morgan,1103,8384,12877,2013
253,Lamar,1075,12626,13223,2013
254,Russell,1113,10289,11629,2013
255,Franklin,1059,3713.5,12945.5,2013
256,Conecuh,1035,5478,11115,2013
257,Elmore,1051,8999,11684.5,2013
258,Jefferson,1073,5805,11922.5,2013
259,Walker,1127,4767,12543,2013
260,Randolph,1111,11439,11793,2013
261,Montgomery,1101,6451,11539,2013
262,Bibb,1007,9812,11599,2013
263,Etowah,1055,11629,12403,2013
264,Chilton,1021,7359.5,11543,2013
265,Coffee,1031,9135.5,11442.5,2013
266,Covington,1039,8617,11214,2013
267,Henry,1067,9967,11525,2013
268,Clay,1027,10295,13942,2014
269,Marengo,1091,8309,13763,2014
270,DeKalb,1049,14817,15136,2014
271,Cherokee,1019,13223,14358,2014
272,Hale,1065,7519.5,14037.5,2014
273,Perry,1105,9304,14125,2014
274,Colbert,1033,11498.5,15551,2014
275,Greene,1063,7413,13849,2014
276,Butler,1013,8276,13830,2014
277,Lee,1081,6702,13858,2014
278,Mobile,1097,6016,13404,2014
279,Fayette,1057,11645,14711,2014
280,Chambers,1017,8354,13319,2014
281,Tuscaloosa,1125,8542,14068,2014
282,Wilcox,1131,5959.5,13707.5,2014
283,Marshall,1095,13172,14741.5,2014
284,Escambia,1053,13360,13638.5,2014
285,Limestone,1083,15052,15572,2014
286,Blount,1009,5193,14096,2014
287,Monroe,1099,7551.5,13737,2014
288,Marion,1093,15470,15588,2014
289,Lowndes,1085,5289.5,13784,2014
290,Coosa,1037,9290,13938.5,2014
291,Pike,1109,7086.5,13761.5,2014
292,Sumter,1119,7945,13643.5,2014
293,Winston,1133,14292.5,15414,2014
294,Talladega,1121,5790,13639,2014
295,Jackson,1071,6839,14732,2014
296,Baldwin,1003,11102,13321,2014
297,Bullock,1011,6447,14050,2014
298,Autauga,1001,7653,13899,2014
299,Macon,1087,5445,14003,2014
300,St. Clair,1115,7203.5,13639.5,2014
301,Choctaw,1023,9445,13933,2014
302,Cullman,1043,5177.5,15081,2014
303,Shelby,1117,6548,13964,2014
304,Dallas,1047,7002,13828,2014
305,Pickens,1107,13074,13990,2014
306,Lauderdale,1077,13301,15591,2014
307,Cleburne,1029,8458,14308,2014
308,Barbour,1005,6361.5,13795.5,2014
309,Geneva,1061,7990,13751,2014
310,Dale,1045,7710,13398,2014
311,Tallapoosa,1123,8805,13901,2014
312,Clarke,1025,8541,13726,2014
313,Houston,1069,7209,12997,2014
314,Washington,1129,13912,13914,2014
315,Madison,1089,14197,15262,2014
316,Crenshaw,1041,6307,13695,2014
317,Calhoun,1015,7036,13795,2014
318,Lawrence,1079,12185,15331,2014
319,Morgan,1103,11391,15617,2014
320,Lamar,1075,14000.5,14106.5,2014
321,Russell,1113,5694,13604,2014
322,Franklin,1059,6157,14993,2014
323,Conecuh,1035,5647.5,13258,2014
324,Elmore,1051,8983.5,13804,2014
325,Jefferson,1073,1470.5,13819.5,2014
326,Walker,1127,4511,14117,2014
327,Randolph,1111,7398,13548,2014
328,Montgomery,1101,7613.5,13834,2014
329,Bibb,1007,7021,14258,2014
330,Etowah,1055,11998,14102,2014
331,Chilton,1021,8195.5,13960.5,2014
332,Coffee,1031,7717,13328,2014
333,Covington,1039,7324,13039.5,2014
334,Henry,1067,5785,13504,2014
335,Clay,1027,9910,13241,2015
336,Marengo,1091,10982.5,13603.5,2015
337,DeKalb,1049,8565,13180,2015
338,Cherokee,1019,5695,13297,2015
339,Hale,1065,8180,13270,2015
340,Perry,1105,8579,13114,2015
341,Colbert,1033,9484.5,13059.5,2015
342,Greene,1063,7874,13297,2015
343,Butler,1013,12268,13586,2015
344,Lee,1081,11606,13217,2015
345,Mobile,1097,9692,11465,2015
346,Fayette,1057,7851,13508,2015
347,Chambers,1017,11058,12704,2015
348,Tuscaloosa,1125,6348.5,12952,2015
349,Wilcox,1131,8031.5,13537,2015
350,Marshall,1095,7441,13185,2015
351,Escambia,1053,11209,12639,2015
352,Limestone,1083,10834,13255,2015
353,Blount,1009,3539,12985,2015
354,Monroe,1099,8533,13535.5,2015
355,Marion,1093,12097,13415,2015
356,Lowndes,1085,7997,13466,2015
357,Coosa,1037,9509.5,12908,2015
358,Pike,1109,6654.5,13116,2015
359,Sumter,1119,8494.5,13378,2015
360,Winston,1133,7254,13111,2015
361,Talladega,1121,5592,12684,2015
362,Jackson,1071,3846,12149,2015
363,Baldwin,1003,9787,11650,2015
364,Bullock,1011,8082,13031,2015
365,Autauga,1001,8554,13360,2015
366,Macon,1087,10764,13281,2015
367,St. Clair,1115,8361,12900,2015
368,Choctaw,1023,10154,13537,2015
369,Cullman,1043,3729,13029.5,2015
370,Shelby,1117,7292.5,12763.5,2015
371,Dallas,1047,9542,13447,2015
372,Pickens,1107,7068,12916,2015
373,Lauderdale,1077,10275,13013,2015
374,Cleburne,1029,7499,13730,2015
375,Barbour,1005,9087,12869,2015
376,Geneva,1061,10359,12759.5,2015
377,Dale,1045,9327,12918,2015
378,Tallapoosa,1123,11236,13054,2015
379,Clarke,1025,10988,13527,2015
380,Houston,1069,9210,12985,2015
381,Washington,1129,13436,13454,2015
382,Madison,1089,10861,13151,2015
383,Crenshaw,1041,7788,13415,2015
384,Calhoun,1015,6141,13203,2015
385,Lawrence,1079,5762,12889,2015
386,Morgan,1103,7614,12932,2015
387,Lamar,1075,10234,13027,2015
388,Russell,1113,8291,12904,2015
389,Franklin,1059,2306.5,12780.5,2015
390,Conecuh,1035,5847.5,12490,2015
391,Elmore,1051,10309,13339.5,2015
392,Jefferson,1073,3746.5,12724.5,2015
393,Walker,1127,3021,12907,2015
394,Randolph,1111,10358,13138,2015
395,Montgomery,1101,8620,13289.5,2015
396,Bibb,1007,7670,13086,2015
397,Etowah,1055,6325,13032,2015
398,Chilton,1021,8601.5,12899,2015
399,Coffee,1031,7281.5,12993.5,2015
400,Covington,1039,7841.5,12223,2015
401,Henry,1067,8752,12997,2015
402,Clay,1027,5617,12752,2016
403,Marengo,1091,4023,13198,2016
404,DeKalb,1049,5592,13617,2016
405,Cherokee,1019,5001,13204,2016
406,Hale,1065,4708,12601,2016
407,Perry,1105,5347,13032,2016
408,Colbert,1033,4302,13541,2016
409,Greene,1063,4022,12873,2016
410,Butler,1013,8279,13400,2016
411,Lee,1081,4044,13008,2016
412,Mobile,1097,6143,12365,2016
413,Fayette,1057,6914,13239,2016
414,Chambers,1017,3219,12602,2016
415,Tuscaloosa,1125,8126.5,12708,2016
416,Wilcox,1131,5402.5,13113,2016
417,Marshall,1095,5208,13717,2016
418,Escambia,1053,10115,13359,2016
419,Limestone,1083,4741,13759,2016
420,Blount,1009,4889,13028,2016
421,Monroe,1099,5854,13127,2016
422,Marion,1093,7111,13743,2016
423,Lowndes,1085,4691,13051.5,2016
424,Coosa,1037,3457.5,12483,2016
425,Pike,1109,7021,13326,2016
426,Sumter,1119,3251.5,12759.5,2016
427,Winston,1133,7591,13819,2016
428,Talladega,1121,3061,12539,2016
429,Jackson,1071,2126,12853,2016
430,Baldwin,1003,5663,12898,2016
431,Bullock,1011,4807,13218,2016
432,Autauga,1001,6050.5,13285,2016
433,Macon,1087,3049,13130,2016
434,St. Clair,1115,5361.5,12790.5,2016
435,Choctaw,1023,5199,12851,2016
436,Cullman,1043,3740,13690.5,2016
437,Shelby,1117,4862.5,12310,2016
438,Dallas,1047,5465,13134,2016
439,Pickens,1107,7892,12912,2016
440,Lauderdale,1077,6756,13360,2016
